anonymized,total_points,programming_background,pre_skills,Concept (Total),File Structure (Total),Project Description (Total),Approach (Total),Code (Total),Style (Total),Documentation (Total),Tests (Total),Fudge Points,Extra Credit,Total Score,instructor,quarter
WI21_B00_001,98.5,I've never programmed before!,None of these,5,4.5,10,20,28,10,9,8,,,95,Ellis,WI21
WI21_B00_002,99.53,I've never programmed before!,None of these,5,4.5,10,20,27,10,8,10,,,94.5,Ellis,WI21
WI21_B00_003,92.97,I've never programmed before!,None of these,5,4.5,10,20,30,10,10,7.5,,,100,Ellis,WI21
WI21_B00_004,94.69,Matlab,"Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Execute Python programs on your local computer, using notebooks and the command line",5,5,0,18,30,10,10,10,,,88.5,Ellis,WI21
WI21_B00_005,98.72,I've never programmed before!,None of these,5,4.5,10,20,27,10,8,10,,,98.5,Ellis,WI21
WI21_B00_006,89.47,I've never programmed before!,None of these,5,4.5,10,17,30,9,9,10,,,95.5,Ellis,WI21
WI21_B00_007,95.71,I've never programmed before!,None of these,5,4.5,10,15,30,9,9,10,,,93,Ellis,WI21
WI21_B00_008,85.09,I've never programmed before!,None of these,5,4.5,10,16,22,9,8,8,,,83,Ellis,WI21
WI21_B00_009,99.39,I've never programmed before!,None of these,5,5,10,20,30,9,10,10,,,102,Ellis,WI21
WI21_B00_010,91.83,Javascript,None of these,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,Ellis,WI21
WI21_B00_011,100.77,I've never programmed before!,None of these,5,5,10,20,30,10,10,10,,,101,Ellis,WI21
WI21_B00_012,90.51,C/C++,Solve basic problems using programmatic solutions,5,5,10,20,30,8,8,1,,,87,Ellis,WI21
WI21_B00_013,94.75,I've never programmed before!,None of these,5,5,10,19,30,10,10,9,,,98,Ellis,WI21
WI21_B00_014,70.52,I've never programmed before!,None of these,5,2,0,15,30,7,0,0,,,61,Ellis,WI21
WI21_B00_015,99.7,I've never programmed before!,None of these,5,5,10,20,30,10,10,10,,,100,Ellis,WI21
WI21_B00_016,78.93,C/C++,"Solve basic problems using programmatic solutions, Execute Python programs on your local computer, using notebooks and the command line",5,3,3,20,24,5,3,0,,,67,Ellis,WI21
WI21_B00_017,99.71,I've never programmed before!,None of these,5,5,10,20,30,10,10,10,,,101,Ellis,WI21
WI21_B00_018,98.95,I've never programmed before!,None of these,5,5,10,18,30,10,10,7.5,,,96.5,Ellis,WI21
WI21_B00_019,86.4,I've never programmed before!,"Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Execute Python programs on your local computer, using notebooks and the command line",NA,5,10,19,25,8,2,5,,,74,Ellis,WI21
WI21_B00_020,100.39,NA,NA,5,5,10,20,30,10,10,10,,,101,Ellis,WI21
WI21_B00_021,96.83,I've never programmed before!,None of these,5,4.5,10,15,22,10,10,6.4,,,82.9,Ellis,WI21
WI21_B00_022,73.37,I've never programmed before!,None of these,5,5,10,18,26,10,10,8,,,92,Ellis,WI21
SP21_B00_001,100.99,I've never programmed before!,None of these,5,5,10,20,30,10,10,7.5,,,97.5,Ellis,SP21
SP21_B00_002,101.23,I've never programmed before!,None of these,5,3.5,10,20,30,10,10,10,,,98.5,Ellis,SP21
SP21_B00_003,92.3,I've never programmed before!,None of these,5,5,10,15,27,9,10,9,,,90,Ellis,SP21
SP21_B00_004,97.69,"Python, Java","Program at an introductory level in the Python programming language, Write and debug small Python programs",5,4,10,20,28,10,6,10,,,93,Ellis,SP21
SP21_B00_005,51.72,"Java, Javascript","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5,4,10,17,28,4,0,2.5,,,0,Ellis,SP21
SP21_B00_006,99.17,I've never programmed before!,None of these,5,5,9,20,30,8.5,9,6,,,95.5,Ellis,SP21
SP21_B00_007,100.46,"Java, C/C++","Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5,5,10,20,30,10,10,10,,,100,Ellis,SP21
SP21_B00_008,102.52,I've never programmed before!,None of these,5,4.5,10,20,30,10,10,10,,,103.5,Ellis,SP21
SP21_B00_008,102.52,I've never programmed before!,None of these,5,4.5,10,20,30,10,10,10,,,103.5,Ellis,SP21
