project_name,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
SP21_B00_006,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_B00_001,22,3,"['numpy', 'pandas', 'matplotlib.pyplot']",44,218,3,0,3,7,1,0,SP21
SP21_B00_008,60,8,"['numpy', 'pandas', 'sklearn.linear_model', 'matplotlib.pyplot', 'numpy', 'pandas', 'sys', 'my_module.functions']",72,472,5,1,3,11,1,5,SP21
WI21_A00_033,5,0,[],3,8,0,0,4,15,0,0,WI21
WI21_A00_034,61,0,[],7,66,7,0,7,14,4,2,WI21
WI21_A00_002,73,5,"['numpy', 'pandas', 'sklearn.linear_model', 'matplotlib.pyplot', 'math']",84,426,6,0,0,0,0,0,WI21
WI21_A00_005,109,2,"['random', 'string']",43,337,9,1,1,20,6,4,WI21
SP21_B00_009,114,4,"['random', 'random', 'functions', 'sys']",67,418,5,1,4,15,7,3,SP21
SP21_B00_007,50,0,[],66,382,5,1,4,17,1,3,SP21
WI21_A00_004,69,4,"['numpy', 'matplotlib.pyplot', 'pandas', 'seaborn']",57,382,4,0,4,6,4,1,WI21
WI21_A00_003,93,1,['random'],22,182,8,0,2,3,9,2,WI21
WI21_A00_035,37,6,"['collections', 'pandas', 'numpy', 'matplotlib.pyplot', 'scipy', 'scipy']",40,178,8,0,7,9,0,0,WI21
WI21_A00_032,65,3,"['random', 'os', 'time']",17,123,5,0,3,7,4,0,WI21
SP21_C00_046,105,3,"['random', 'sys', 'my_module.functions']",9,57,5,0,3,8,1,0,SP21
SP21_C00_079,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_041,112,3,"['random', 'sys', 'my_module.functions']",130,661,9,0,3,4,8,0,SP21
SP21_C00_083,35,2,"['sys', 'my_module.functions']",18,219,3,0,3,7,3,1,SP21
SP21_C00_077,93,4,"['numpy', 'pandas', 'datetime', 'matplotlib.pyplot']",29,219,4,0,4,11,10,7,SP21
SP21_C00_048,49,2,"['sys', 'my_module.functions']",41,215,3,0,3,7,2,2,SP21
SP21_C00_070,186,6,"['time', 'sys', 'PIL', 'colorama', 'sys', 'my_module.functions']",59,457,12,0,3,8,10,3,SP21
SP21_C00_084,601,3,"['colorama', 'classes', 'colorama']",162,948,11,1,10,30,10,0,SP21
SP21_C00_024,94,2,"['sys', 'my_module.functions']",55,529,4,1,4,4,12,1,SP21
WI21_B00_017,31,0,[],61,369,7,1,3,10,0,4,WI21
WI21_B00_010,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,WI21
SP21_C00_023,104,4,"['random', 'time', 'sys', 'my_module.functions']",134,861,6,0,6,11,10,0,SP21
WI21_B00_019,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,WI21
SP21_C00_015,41,2,"['sys', 'my_module.functions']",71,360,4,1,1,5,3,1,SP21
